solver,objective,iterations,cpu_time,success,problem
Library Solver,1.8634981797321998e-14,28,0.12448640004731715,True,Himmelblau
Line-Search SQP,3.536092673480342e-25,8,0.008841200033202767,True,Himmelblau
Trust-Region SQP,13.81277105605393,3,0.0073006999446079135,True,Himmelblau
Library Solver,2.034373372024446e-11,72,0.3130610999651253,True,Rosenbrock
Line-Search SQP,1.4827262472580365e-17,6,0.005936600035056472,True,Rosenbrock
Trust-Region SQP,1.0016419868335852e-13,6,0.010811100015416741,True,Rosenbrock
